,importance
Curricular units 2nd sem (approved),0.30170357
Tuition fees up to date,0.09050931
Curricular units 1st sem (approved),0.072039805
Debtor,0.0371221
Curricular units 1st sem (enrolled),0.036615897
Curricular units 2nd sem (enrolled),0.03003888
Curricular units 2nd sem (grade)_clean,0.025079142
Scholarship holder,0.024720877
Curricular units 1st sem (credited),0.020814657
Course,0.02007525
Curricular units 2nd sem (credited),0.019991219
Curricular units 2nd sem (evaluations),0.019583277
Curricular units 1st sem (without evaluations),0.019451456
Curricular units 1st sem (evaluations),0.019188382
Previous qualification,0.016807804
Curricular units 2nd sem (without evaluations),0.016034948
Age at enrollment,0.015053988
Gender,0.014489857
Displaced,0.0140026985
Admission grade,0.0138507495
Application order,0.013697745
Mother's occupation,0.0131319305
Application mode,0.0129822465
Previous qualification (grade),0.012962274
Father's qualification,0.012942305
Curricular units 1st sem (grade)_clean,0.012881417
Unemployment rate,0.012736958
GDP,0.012643705
Nacionality,0.01244975
Marital status,0.01194521
Father's occupation,0.0117711015
Mother's qualification,0.011712185
Inflation rate,0.01121035
Daytime/evening attendance	,0.009758965
Educational special needs,0.0
International,0.0
